STATE|STATEFP|CDFP|CDNAME
AL|01|01|Congressional District 1
AL|01|02|Congressional District 2
AL|01|03|Congressional District 3
AL|01|04|Congressional District 4
AL|01|05|Congressional District 5
AL|01|06|Congressional District 6
AL|01|07|Congressional District 7
AK|02|00|Congressional District (at Large)
AZ|04|01|Congressional District 1
AZ|04|02|Congressional District 2
AZ|04|03|Congressional District 3
AZ|04|04|Congressional District 4
AZ|04|05|Congressional District 5
AZ|04|06|Congressional District 6
AZ|04|07|Congressional District 7
AZ|04|08|Congressional District 8
AZ|04|09|Congressional District 9
AR|05|01|Congressional District 1
AR|05|02|Congressional District 2
AR|05|03|Congressional District 3
AR|05|04|Congressional District 4
CA|06|01|Congressional District 1
CA|06|02|Congressional District 2
CA|06|03|Congressional District 3
CA|06|04|Congressional District 4
CA|06|05|Congressional District 5
CA|06|06|Congressional District 6
CA|06|07|Congressional District 7
CA|06|08|Congressional District 8
CA|06|09|Congressional District 9
CA|06|10|Congressional District 10
CA|06|11|Congressional District 11
CA|06|12|Congressional District 12
CA|06|13|Congressional District 13
CA|06|14|Congressional District 14
CA|06|15|Congressional District 15
CA|06|16|Congressional District 16
CA|06|17|Congressional District 17
CA|06|18|Congressional District 18
CA|06|19|Congressional District 19
CA|06|20|Congressional District 20
CA|06|21|Congressional District 21
CA|06|22|Congressional District 22
CA|06|23|Congressional District 23
CA|06|24|Congressional District 24
CA|06|25|Congressional District 25
CA|06|26|Congressional District 26
CA|06|27|Congressional District 27
CA|06|28|Congressional District 28
CA|06|29|Congressional District 29
CA|06|30|Congressional District 30
CA|06|31|Congressional District 31
CA|06|32|Congressional District 32
CA|06|33|Congressional District 33
CA|06|34|Congressional District 34
CA|06|35|Congressional District 35
CA|06|36|Congressional District 36
CA|06|37|Congressional District 37
CA|06|38|Congressional District 38
CA|06|39|Congressional District 39
CA|06|40|Congressional District 40
CA|06|41|Congressional District 41
CA|06|42|Congressional District 42
CA|06|43|Congressional District 43
CA|06|44|Congressional District 44
CA|06|45|Congressional District 45
CA|06|46|Congressional District 46
CA|06|47|Congressional District 47
CA|06|48|Congressional District 48
CA|06|49|Congressional District 49
CA|06|50|Congressional District 50
CA|06|51|Congressional District 51
CA|06|52|Congressional District 52
CA|06|53|Congressional District 53
CO|08|01|Congressional District 1
CO|08|02|Congressional District 2
CO|08|03|Congressional District 3
CO|08|04|Congressional District 4
CO|08|05|Congressional District 5
CO|08|06|Congressional District 6
CO|08|07|Congressional District 7
CT|09|01|Congressional District 1
CT|09|02|Congressional District 2
CT|09|03|Congressional District 3
CT|09|04|Congressional District 4
CT|09|05|Congressional District 5
CT|09|ZZ|Congressional Districts not defined
DE|10|00|Congressional District (at Large)
DC|11|98|Delegate District (at Large)
FL|12|01|Congressional District 1
FL|12|02|Congressional District 2
FL|12|03|Congressional District 3
FL|12|04|Congressional District 4
FL|12|05|Congressional District 5
FL|12|06|Congressional District 6
FL|12|07|Congressional District 7
FL|12|08|Congressional District 8
FL|12|09|Congressional District 9
FL|12|10|Congressional District 10
FL|12|11|Congressional District 11
FL|12|12|Congressional District 12
FL|12|13|Congressional District 13
FL|12|14|Congressional District 14
FL|12|15|Congressional District 15
FL|12|16|Congressional District 16
FL|12|17|Congressional District 17
FL|12|18|Congressional District 18
FL|12|19|Congressional District 19
FL|12|20|Congressional District 20
FL|12|21|Congressional District 21
FL|12|22|Congressional District 22
FL|12|23|Congressional District 23
FL|12|24|Congressional District 24
FL|12|25|Congressional District 25
FL|12|26|Congressional District 26
FL|12|27|Congressional District 27
GA|13|01|Congressional District 1
GA|13|02|Congressional District 2
GA|13|03|Congressional District 3
GA|13|04|Congressional District 4
GA|13|05|Congressional District 5
GA|13|06|Congressional District 6
GA|13|07|Congressional District 7
GA|13|08|Congressional District 8
GA|13|09|Congressional District 9
GA|13|10|Congressional District 10
GA|13|11|Congressional District 11
GA|13|12|Congressional District 12
GA|13|13|Congressional District 13
GA|13|14|Congressional District 14
HI|15|01|Congressional District 1
HI|15|02|Congressional District 2
ID|16|01|Congressional District 1
ID|16|02|Congressional District 2
IL|17|01|Congressional District 1
IL|17|02|Congressional District 2
IL|17|03|Congressional District 3
IL|17|04|Congressional District 4
IL|17|05|Congressional District 5
IL|17|06|Congressional District 6
IL|17|07|Congressional District 7
IL|17|08|Congressional District 8
IL|17|09|Congressional District 9
IL|17|10|Congressional District 10
IL|17|11|Congressional District 11
IL|17|12|Congressional District 12
IL|17|13|Congressional District 13
IL|17|14|Congressional District 14
IL|17|15|Congressional District 15
IL|17|16|Congressional District 16
IL|17|17|Congressional District 17
IL|17|18|Congressional District 18
IL|17|ZZ|Congressional Districts not defined
IN|18|01|Congressional District 1
IN|18|02|Congressional District 2
IN|18|03|Congressional District 3
IN|18|04|Congressional District 4
IN|18|05|Congressional District 5
IN|18|06|Congressional District 6
IN|18|07|Congressional District 7
IN|18|08|Congressional District 8
IN|18|09|Congressional District 9
IA|19|01|Congressional District 1
IA|19|02|Congressional District 2
IA|19|03|Congressional District 3
IA|19|04|Congressional District 4
KS|20|01|Congressional District 1
KS|20|02|Congressional District 2
KS|20|03|Congressional District 3
KS|20|04|Congressional District 4
KY|21|01|Congressional District 1
KY|21|02|Congressional District 2
KY|21|03|Congressional District 3
KY|21|04|Congressional District 4
KY|21|05|Congressional District 5
KY|21|06|Congressional District 6
LA|22|01|Congressional District 1
LA|22|02|Congressional District 2
LA|22|03|Congressional District 3
LA|22|04|Congressional District 4
LA|22|05|Congressional District 5
LA|22|06|Congressional District 6
ME|23|01|Congressional District 1
ME|23|02|Congressional District 2
MD|24|01|Congressional District 1
MD|24|02|Congressional District 2
MD|24|03|Congressional District 3
MD|24|04|Congressional District 4
MD|24|05|Congressional District 5
MD|24|06|Congressional District 6
MD|24|07|Congressional District 7
MD|24|08|Congressional District 8
MA|25|01|Congressional District 1
MA|25|02|Congressional District 2
MA|25|03|Congressional District 3
MA|25|04|Congressional District 4
MA|25|05|Congressional District 5
MA|25|06|Congressional District 6
MA|25|07|Congressional District 7
MA|25|08|Congressional District 8
MA|25|09|Congressional District 9
MI|26|01|Congressional District 1
MI|26|02|Congressional District 2
MI|26|03|Congressional District 3
MI|26|04|Congressional District 4
MI|26|05|Congressional District 5
MI|26|06|Congressional District 6
MI|26|07|Congressional District 7
MI|26|08|Congressional District 8
MI|26|09|Congressional District 9
MI|26|10|Congressional District 10
MI|26|11|Congressional District 11
MI|26|12|Congressional District 12
MI|26|13|Congressional District 13
MI|26|14|Congressional District 14
MI|26|ZZ|Congressional Districts not defined
MN|27|01|Congressional District 1
MN|27|02|Congressional District 2
MN|27|03|Congressional District 3
MN|27|04|Congressional District 4
MN|27|05|Congressional District 5
MN|27|06|Congressional District 6
MN|27|07|Congressional District 7
MN|27|08|Congressional District 8
MS|28|01|Congressional District 1
MS|28|02|Congressional District 2
MS|28|03|Congressional District 3
MS|28|04|Congressional District 4
MO|29|01|Congressional District 1
MO|29|02|Congressional District 2
MO|29|03|Congressional District 3
MO|29|04|Congressional District 4
MO|29|05|Congressional District 5
MO|29|06|Congressional District 6
MO|29|07|Congressional District 7
MO|29|08|Congressional District 8
MT|30|00|Congressional District (at Large)
NE|31|01|Congressional District 1
NE|31|02|Congressional District 2
NE|31|03|Congressional District 3
NV|32|01|Congressional District 1
NV|32|02|Congressional District 2
NV|32|03|Congressional District 3
NV|32|04|Congressional District 4
NH|33|01|Congressional District 1
NH|33|02|Congressional District 2
NJ|34|01|Congressional District 1
NJ|34|02|Congressional District 2
NJ|34|03|Congressional District 3
NJ|34|04|Congressional District 4
NJ|34|05|Congressional District 5
NJ|34|06|Congressional District 6
NJ|34|07|Congressional District 7
NJ|34|08|Congressional District 8
NJ|34|09|Congressional District 9
NJ|34|10|Congressional District 10
NJ|34|11|Congressional District 11
NJ|34|12|Congressional District 12
NM|35|01|Congressional District 1
NM|35|02|Congressional District 2
NM|35|03|Congressional District 3
NY|36|01|Congressional District 1
NY|36|02|Congressional District 2
NY|36|03|Congressional District 3
NY|36|04|Congressional District 4
NY|36|05|Congressional District 5
NY|36|06|Congressional District 6
NY|36|07|Congressional District 7
NY|36|08|Congressional District 8
NY|36|09|Congressional District 9
NY|36|10|Congressional District 10
NY|36|11|Congressional District 11
NY|36|12|Congressional District 12
NY|36|13|Congressional District 13
NY|36|14|Congressional District 14
NY|36|15|Congressional District 15
NY|36|16|Congressional District 16
NY|36|17|Congressional District 17
NY|36|18|Congressional District 18
NY|36|19|Congressional District 19
NY|36|20|Congressional District 20
NY|36|21|Congressional District 21
NY|36|22|Congressional District 22
NY|36|23|Congressional District 23
NY|36|24|Congressional District 24
NY|36|25|Congressional District 25
NY|36|26|Congressional District 26
NY|36|27|Congressional District 27
NC|37|01|Congressional District 1
NC|37|02|Congressional District 2
NC|37|03|Congressional District 3
NC|37|04|Congressional District 4
NC|37|05|Congressional District 5
NC|37|06|Congressional District 6
NC|37|07|Congressional District 7
NC|37|08|Congressional District 8
NC|37|09|Congressional District 9
NC|37|10|Congressional District 10
NC|37|11|Congressional District 11
NC|37|12|Congressional District 12
NC|37|13|Congressional District 13
ND|38|00|Congressional District (at Large)
OH|39|01|Congressional District 1
OH|39|02|Congressional District 2
OH|39|03|Congressional District 3
OH|39|04|Congressional District 4
OH|39|05|Congressional District 5
OH|39|06|Congressional District 6
OH|39|07|Congressional District 7
OH|39|08|Congressional District 8
OH|39|09|Congressional District 9
OH|39|10|Congressional District 10
OH|39|11|Congressional District 11
OH|39|12|Congressional District 12
OH|39|13|Congressional District 13
OH|39|14|Congressional District 14
OH|39|15|Congressional District 15
OH|39|16|Congressional District 16
OK|40|01|Congressional District 1
OK|40|02|Congressional District 2
OK|40|03|Congressional District 3
OK|40|04|Congressional District 4
OK|40|05|Congressional District 5
OR|41|01|Congressional District 1
OR|41|02|Congressional District 2
OR|41|03|Congressional District 3
OR|41|04|Congressional District 4
OR|41|05|Congressional District 5
PA|42|01|Congressional District 1
PA|42|02|Congressional District 2
PA|42|03|Congressional District 3
PA|42|04|Congressional District 4
